Period,Load_MW,Unit_1_Generation_MW,Unit_2_Generation_MW,Unit_5_Generation_MW,Unit_8_Generation_MW,Unit_11_Generation_MW,Unit_13_Generation_MW,Total_Generation_MW
1,166.0,50.0,20.0,26.666666666666664,26.666666666666668,16.666666666666668,21.333333333333336,161.33333333333334
2,196.0,50.0,73.33333333333334,26.666666666666664,18.333333333333336,16.666666666666668,12.0,197.0
3,229.0,50.0,73.33333333333334,38.33333333333333,18.333333333333336,23.333333333333336,21.333333333333336,224.6666666666667
4,257.0,50.0,73.33333333333334,50.0,35.0,23.333333333333336,21.333333333333336,253.00000000000003
5,263.0,50.0,73.33333333333334,50.0,35.0,23.333333333333336,30.666666666666668,262.33333333333337
6,252.0,50.0,73.33333333333334,50.0,35.0,16.666666666666668,30.666666666666668,255.66666666666666
7,246.0,50.0,73.33333333333334,38.33333333333333,35.0,23.333333333333336,21.333333333333336,241.33333333333337
8,213.0,50.0,126.66666666666667,15.0,10.0,10.0,12.0,223.66666666666669
9,192.0,50.0,73.33333333333334,26.666666666666664,18.333333333333336,10.0,12.0,190.33333333333334
10,161.0,50.0,20.0,26.666666666666664,26.666666666666668,16.666666666666668,21.333333333333336,161.33333333333334
11,147.0,50.0,20.0,15.0,26.666666666666668,16.666666666666668,21.333333333333336,149.66666666666669
12,160.0,50.0,20.0,26.666666666666664,18.333333333333336,16.666666666666668,30.666666666666668,162.33333333333331
13,170.0,50.0,20.0,38.33333333333333,26.666666666666668,16.666666666666668,21.333333333333336,173.0
14,185.0,50.0,20.0,38.33333333333333,35.0,23.333333333333336,21.333333333333336,188.0
15,208.0,50.0,20.0,50.0,35.0,30.0,21.333333333333336,206.33333333333334
16,232.0,50.0,73.33333333333334,50.0,18.333333333333336,16.666666666666668,21.333333333333336,229.66666666666669
17,246.0,50.0,126.66666666666667,38.33333333333333,10.0,10.0,12.0,247.0
18,241.0,50.0,126.66666666666667,26.666666666666664,18.333333333333336,10.0,12.0,243.66666666666669
19,236.0,50.0,73.33333333333334,26.666666666666664,35.0,16.666666666666668,30.666666666666668,232.33333333333331
20,225.0,50.0,73.33333333333334,26.666666666666664,26.666666666666668,16.666666666666668,30.666666666666668,223.99999999999997
21,204.0,50.0,73.33333333333334,26.666666666666664,18.333333333333336,16.666666666666668,21.333333333333336,206.33333333333334
22,182.0,50.0,20.0,38.33333333333333,18.333333333333336,23.333333333333336,30.666666666666668,180.66666666666666
23,161.0,50.0,20.0,26.666666666666664,18.333333333333336,16.666666666666668,30.666666666666668,162.33333333333331
24,131.0,50.0,20.0,15.0,10.0,10.0,30.666666666666668,135.66666666666666
